FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
n/a,n/a,n/a,Benin,17/08/2020 4:27,9.3077,2.3158,2063,39,1690,334,Benin,17.01696203,1.8904508
n/a,n/a,n/a,Bhutan,17/08/2020 4:27,27.5142,90.4336,138,0,102,36,Bhutan,17.88463632,0
n/a,n/a,n/a,Bolivia,17/08/2020 4:27,-16.2902,-63.5887,100344,4058,36491,59795,Bolivia,859.6226395,4.044088336
n/a,n/a,n/a,Bosnia and Herzegovina,17/08/2020 4:27,43.9159,17.6791,15801,471,9619,5711,Bosnia and Herzegovina,481.6181345,2.980823998
n/a,n/a,n/a,Botswana,17/08/2020 4:27,-22.3285,24.6849,1214,3,120,1091,Botswana,51.62387711,0.247116969
n/a,n/a,Acre,Brazil,17/08/2020 4:27,-9.0238,-70.812,22548,576,15505,6467,"Acre, Brazil",2556.651,2.554550293
n/a,n/a,Alagoas,Brazil,17/08/2020 4:27,-9.5713,-36.782,72734,1753,66201,4780,"Alagoas, Brazil",2179.389259,2.410152061
n/a,n/a,Amapa,Brazil,17/08/2020 4:27,0.902,-52.003,39518,613,27512,11393,"Amapa, Brazil",4672.644139,1.551191862
n/a,n/a,Amazonas,Brazil,17/08/2020 4:27,-3.4168,-65.8561,111912,3483,93911,14518,"Amazonas, Brazil",2700.190151,3.112266781
n/a,n/a,Bahia,Brazil,17/08/2020 4:27,-12.5797,-41.7007,216030,4406,196992,14632,"Bahia, Brazil",1452.491565,2.039531547
n/a,n/a,Ceara,Brazil,17/08/2020 4:27,-5.4984,-39.3206,197619,8133,168327,21159,"Ceara, Brazil",2164.009112,4.115494968
n/a,n/a,Distrito Federal,Brazil,17/08/2020 4:27,-15.7998,-47.8645,136467,1976,114355,20136,"Distrito Federal, Brazil",4525.866357,1.447969106
n/a,n/a,Espirito Santo,Brazil,17/08/2020 4:27,-19.1834,-40.3089,99580,2875,85251,11454,"Espirito Santo, Brazil",2477.946574,2.887125929
n/a,n/a,Goias,Brazil,17/08/2020 4:27,-15.827,-49.8362,101592,2322,92760,6510,"Goias, Brazil",1447.518891,2.28561304
n/a,n/a,Maranhao,Brazil,17/08/2020 4:27,-4.9609,-45.2744,136853,3264,125778,7811,"Maranhao, Brazil",1934.268537,2.385040883
n/a,n/a,Mato Grosso,Brazil,17/08/2020 4:27,-12.6819,-56.9211,73269,2340,50261,20668,"Mato Grosso, Brazil",2102.732528,3.193710846
n/a,n/a,Mato Grosso do Sul,Brazil,17/08/2020 4:27,-20.7722,-54.7852,36836,626,29668,6542,"Mato Grosso do Sul, Brazil",1325.519452,1.699424476
n/a,n/a,Minas Gerais,Brazil,17/08/2020 4:27,-18.5122,-44.555,174402,4132,141083,29187,"Minas Gerais, Brazil",823.8637719,2.369238885
n/a,n/a,Para,Brazil,17/08/2020 4:27,-1.9981,-54.9306,177969,5940,163027,9002,"Para, Brazil",2068.717805,3.33765993
n/a,n/a,Paraiba,Brazil,17/08/2020 4:27,-7.24,-36.782,96033,2162,52891,40980,"Paraiba, Brazil",2389.994144,2.251309446
n/a,n/a,Parana,Brazil,17/08/2020 4:27,-25.2521,-52.0215,105104,2691,62333,40080,"Parana, Brazil",919.2268258,2.560321206
n/a,n/a,Pernambuco,Brazil,17/08/2020 4:27,-8.8137,-36.9541,112958,7188,91421,14349,"Pernambuco, Brazil",1181.931159,6.363427115
n/a,n/a,Piaui,Brazil,17/08/2020 4:27,-7.7183,-42.7289,66078,1608,63384,1086,"Piaui, Brazil",2018.741749,2.433487696
n/a,n/a,Rio Grande do Norte,Brazil,17/08/2020 4:27,-5.4026,-36.9541,57720,2067,34186,21467,"Rio Grande do Norte, Brazil",1645.920145,3.581081081
n/a,n/a,Rio Grande do Sul,Brazil,17/08/2020 4:27,-30.0346,-51.2177,97877,2689,87105,8083,"Rio Grande do Sul, Brazil",860.287808,2.747325725
n/a,n/a,Rio de Janeiro,Brazil,17/08/2020 4:27,-22.9068,-43.1729,194279,14562,174747,4970,"Rio de Janeiro, Brazil",1125.280286,7.495406091
n/a,n/a,Rondonia,Brazil,17/08/2020 4:27,-11.5057,-63.5806,47837,1013,39366,7458,"Rondonia, Brazil",2691.668191,2.11760771
n/a,n/a,Roraima,Brazil,17/08/2020 4:27,-2.7376,-62.0751,39623,568,9393,29662,"Roraima, Brazil",6541.028557,1.43351084
n/a,n/a,Santa Catarina,Brazil,17/08/2020 4:27,-27.2423,-50.2189,120880,1797,106856,12227,"Santa Catarina, Brazil",1687.13994,1.486598279
n/a,n/a,Sao Paulo,Brazil,17/08/2020 4:27,-23.5505,-46.6333,699493,26852,487345,185296,"Sao Paulo, Brazil",1523.317698,3.838780374
n/a,n/a,Sergipe,Brazil,17/08/2020 4:27,-10.5741,-37.3857,67997,1705,52842,13450,"Sergipe, Brazil",2958.068401,2.507463565
n/a,n/a,Tocantins,Brazil,17/08/2020 4:27,-10.1753,-48.2982,36989,511,22517,13961,"Tocantins, Brazil",2351.694296,1.381491795
n/a,n/a,n/a,Brunei,17/08/2020 4:27,4.5353,114.7277,142,3,138,1,Brunei,32.4584041,2.112676056
n/a,n/a,n/a,Bulgaria,17/08/2020 4:27,42.7339,25.4858,14365,498,9186,4681,Bulgaria,206.736903,3.466759485
n/a,n/a,n/a,Burkina Faso,17/08/2020 4:27,12.2383,-1.5616,1267,55,1013,199,Burkina Faso,6.061250298,4.340962904
n/a,n/a,n/a,Burma,17/08/2020 4:27,21.9162,95.956,375,6,329,40,Burma,0.689214151,1.6
n/a,n/a,n/a,Burundi,17/08/2020 4:27,-3.3731,29.9189,413,1,315,97,Burundi,3.473279005,0.242130751
n/a,n/a,n/a,Cabo Verde,17/08/2020 4:27,16.5388,-23.0418,3179,35,2317,827,Cabo Verde,571.7749304,1.100975149
n/a,n/a,n/a,Cambodia,17/08/2020 4:27,11.55,104.9167,273,0,238,35,Cambodia,1.632875612,0
n/a,n/a,n/a,Cameroon,17/08/2020 4:27,3.848,11.5021,18469,401,16540,1528,Cameroon,69.57392685,2.171205804
n/a,n/a,Alberta,Canada,17/08/2020 4:27,53.9333,-116.5765,12053,221,10796,1036,"Alberta, Canada",273.1158226,1.833568406
n/a,n/a,British Columbia,Canada,17/08/2020 4:27,53.7267,-127.6476,4358,196,3533,629,"British Columbia, Canada",85.26845574,4.497475906
n/a,n/a,Diamond Princess,Canada,17/08/2020 4:27,n/a,n/a,0,1,0,n/a,"Diamond Princess, Canada",n/a,n/a
n/a,n/a,Grand Princess,Canada,17/08/2020 4:27,n/a,n/a,13,0,13,0,"Grand Princess, Canada",n/a,0
n/a,n/a,Manitoba,Canada,17/08/2020 4:27,53.7609,-98.8139,697,9,483,205,"Manitoba, Canada",50.59828663,1.291248207
n/a,n/a,New Brunswick,Canada,17/08/2020 4:27,46.5653,-66.4619,186,2,169,15,"New Brunswick, Canada",23.84636785,1.075268817
n/a,n/a,Newfoundland and Labrador,Canada,17/08/2020 4:27,53.1355,-57.6604,268,3,263,2,"Newfoundland and Labrador, Canada",51.40352728,1.119402985
n/a,n/a,Northwest Territories,Canada,17/08/2020 4:27,64.8255,-124.8457,5,0,5,0,"Northwest Territories,Canada",11.13486549,0
n/a,n/a,Nova Scotia,Canada,17/08/2020 4:27,44.682,-63.7443,1074,64,1007,3,"Nova Scotia, Canada",109.8769562,5.959031657
n/a,n/a,Ontario,Canada,17/08/2020 4:27,51.2538,-85.3232,42563,2836,38670,1057,"Ontario, Canada",289.3114499,6.663064164
n/a,n/a,Prince Edward Island,Canada,17/08/2020 4:27,46.5107,-63.4168,41,0,36,5,"Prince Edward Island, Canada",25.92344364,0
n/a,n/a,Quebec,Canada,17/08/2020 4:27,52.9399,-73.5491,61151,5720,53847,1584,"Quebec, Canada",716.2489456,9.353894458
n/a,n/a,Saskatchewan,Canada,17/08/2020 4:27,52.9399,-106.4509,1580,22,1365,193,"Saskatchewan, Canada",133.7095254,1.392405063
n/a,n/a,Yukon,Canada,17/08/2020 4:27,64.2823,-135,15,0,15,0,"Yukon, Canada",36.51589659,0
n/a,n/a,n/a,Central African Republic,17/08/2020 4:27,6.6111,20.9394,4652,61,1728,2863,Central African Republic,96.31940608,1.311263972
n/a,n/a,n/a,Chad,17/08/2020 4:27,15.4542,18.7322,956,76,865,15,Chad,5.820091357,7.949790795
n/a,n/a,Antofagasta,Chile,17/08/2020 4:27,-23.6509,-70.3975,16794,403,15363,1028,"Antofagasta, Chile",2764.289735,2.399666548
n/a,n/a,Araucania,Chile,17/08/2020 4:27,-38.9489,-72.3311,4639,86,4280,273,"Araucania, Chile",484.6305567,1.853847812
n/a,n/a,Arica y Parinacota,Chile,17/08/2020 4:27,-18.594,-69.4785,5779,85,4911,783,"Arica y Parinacota, Chile",2556.310491,1.470842706
n/a,n/a,Atacama,Chile,17/08/2020 4:27,-27.5661,-70.0503,4569,29,3539,1001,"Atacama, Chile",1581.275264,0.634712191
n/a,n/a,Aysen,Chile,17/08/2020 4:27,-45.9864,-73.7669,98,1,85,12,"Aysen, Chile",94.99990306,1.020408163
n/a,n/a,Biobio,Chile,17/08/2020 4:27,-37.4464,-72.1416,14050,157,12220,1673,"Biobio, Chile",902.4893933,1.117437722
n/a,n/a,Coquimbo,Chile,17/08/2020 4:27,-29.959,-71.3389,8213,98,7128,987,"Coquimbo, Chile",1084.101343,1.193230245
n/a,n/a,Los Lagos,Chile,17/08/2020 4:27,-41.9198,-72.1416,5541,56,4610,875,"Los Lagos, Chile",668.6311704,1.010647897
n/a,n/a,Los Rios,Chile,17/08/2020 4:27,-40.231,-72.3311,1011,15,931,65,"Los Rios, Chile",262.7086273,1.483679525
n/a,n/a,Magallanes,Chile,17/08/2020 4:27,-52.368,-70.9863,2317,30,1895,392,"Magallanes, Chile",1391.315835,1.29477773
n/a,n/a,Maule,Chile,17/08/2020 4:27,-35.5183,-71.6885,10382,219,9320,843,"Maule, Chile",993.5403608,2.10942015
n/a,n/a,Metropolitana,Chile,17/08/2020 4:27,-33.4376,-70.6505,266162,8105,252614,5443,"Metropolitana, Chile",3742.010188,3.045137924
n/a,n/a,Nuble,Chile,17/08/2020 4:27,-36.7226,-71.7622,3960,73,3614,273,"Nuble, Chile",823.9546076,1.843434343
n/a,n/a,OHiggins,Chile,17/08/2020 4:27,-34.5755,-71.0022,12185,301,11020,864,"OHiggins, Chile",1332.341959,2.470250308
n/a,n/a,Tarapaca,Chile,17/08/2020 4:27,-19.9232,-69.5132,9879,186,9089,604,"Tarapaca, Chile",2988.582942,1.882781658
n/a,n/a,Unknown,Chile,17/08/2020 4:27,n/a,n/a,64,1,63,0,"Unknown, Chile",n/a,1.5625
n/a,n/a,Valparaiso,Chile,17/08/2020 4:27,-33.0472,-71.6127,20303,607,18146,1550,"Valparaiso, Chile",1118.066944,2.989705955
n/a,n/a,Anhui,China,17/08/2020 4:27,31.8257,117.2264,991,6,985,0,"Anhui, China",1.567046173,0.605449041
n/a,n/a,Beijing,China,17/08/2020 4:27,40.1824,116.4142,935,9,923,3,"Beijing, China",4.340761374,0.962566845
n/a,n/a,Chongqing,China,17/08/2020 4:27,30.0572,107.874,583,6,577,0,"Chongqing, China",1.879432624,1.02915952
n/a,n/a,Fujian,China,17/08/2020 4:27,26.0789,117.9874,370,1,365,4,"Fujian, China",0.938848008,0.27027027
n/a,n/a,Gansu,China,17/08/2020 4:27,35.7518,104.2861,169,2,167,0,"Gansu, China",0.640879788,1.183431953
n/a,n/a,Guangdong,China,17/08/2020 4:27,23.3417,113.4244,1720,8,1684,28,"Guangdong, China",1.515952759,0.465116279
n/a,n/a,Guangxi,China,17/08/2020 4:27,23.8298,108.7881,255,2,253,0,"Guangxi, China",0.517661389,0.784313725
n/a,n/a,Guizhou,China,17/08/2020 4:27,26.8154,106.8748,147,2,145,0,"Guizhou, China",0.408333333,1.360544218
n/a,n/a,Hainan,China,17/08/2020 4:27,19.1959,109.7453,171,6,165,0,"Hainan, China",1.830835118,3.50877193
n/a,n/a,Hebei,China,17/08/2020 4:27,37.8957,114.9042,351,6,343,2,"Hebei, China",0.464531498,1.709401709
n/a,n/a,Heilongjiang,China,17/08/2020 4:27,47.862,127.7615,948,13,934,1,"Heilongjiang, China",2.512589451,1.371308017
n/a,n/a,Henan,China,17/08/2020 4:27,33.882,113.614,1276,22,1254,0,"Henan, China",1.328474753,1.724137931
n/a,n/a,Hong Kong,China,17/08/2020 4:27,22.3,114.2,4480,69,3549,862,"Hong Kong, China",59.75733188,1.540178571
n/a,n/a,Hubei,China,17/08/2020 4:27,30.9756,112.2707,68139,4512,63625,2,"Hubei, China",115.1580193,6.621758464
n/a,n/a,Hunan,China,17/08/2020 4:27,27.6104,111.7088,1019,4,1015,0,"Hunan, China",1.477025656,0.392541708
n/a,n/a,Inner Mongolia,China,17/08/2020 4:27,44.0935,113.9448,260,1,256,3,"Inner Mongolia, China",1.026045777,0.384615385
n/a,n/a,Jiangsu,China,17/08/2020 4:27,32.9711,119.455,661,0,655,6,"Jiangsu, China",0.821016023,0
n/a,n/a,Jiangxi,China,17/08/2020 4:27,27.614,115.7221,932,1,931,0,"Jiangxi, China",2.005163511,0.107296137
n/a,n/a,Jilin,China,17/08/2020 4:27,43.6661,126.1923,157,2,155,0,"Jilin, China",0.580621302,1.27388535
n/a,n/a,Liaoning,China,17/08/2020 4:27,41.2956,122.6085,261,2,227,32,"Liaoning, China",0.598761184,0.766283525
n/a,n/a,Macau,China,17/08/2020 4:27,22.1667,113.55,46,0,46,0,"Macau, China",7.08409436,0
n/a,n/a,Ningxia,China,17/08/2020 4:27,37.2692,106.1655,75,0,75,0,"Ningxia, China",1.090116279,0
n/a,n/a,Qinghai,China,17/08/2020 4:27,35.7452,95.9956,18,0,18,0,"Qinghai, China",0.298507463,0
n/a,n/a,Shaanxi,China,17/08/2020 4:27,35.1917,108.8701,354,3,324,27,"Shaanxi, China",0.916149068,0.847457627
n/a,n/a,Shandong,China,17/08/2020 4:27,36.3427,118.1498,822,7,790,25,"Shandong, China",0.818154673,0.851581509
n/a,n/a,Shanghai,China,17/08/2020 4:27,31.202,121.4491,828,7,752,69,"Shanghai, China",3.415841584,0.845410628
n/a,n/a,Shanxi,China,17/08/2020 4:27,37.5777,112.2922,201,0,201,0,"Shanxi, China",0.540613233,0
n/a,n/a,Sichuan,China,17/08/2020 4:27,30.6171,102.7103,626,3,606,17,"Sichuan, China",0.750509531,0.479233227
n/a,n/a,Tianjin,China,17/08/2020 4:27,39.3054,117.323,207,3,202,2,"Tianjin, China",1.326923077,1.449275362
n/a,n/a,Tibet,China,17/08/2020 4:27,31.6927,88.0924,1,0,1,0,"Tibet, China",0.029069767,0
n/a,n/a,Xinjiang,China,17/08/2020 4:27,41.1129,85.2401,902,3,521,378,"Xinjiang, China",3.62685967,0.332594235
n/a,n/a,Yunnan,China,17/08/2020 4:27,24.974,101.487,195,2,188,5,"Yunnan, China",0.403726708,1.025641026
n/a,n/a,Zhejiang,China,17/08/2020 4:27,29.1832,120.0934,1275,1,1268,6,"Zhejiang, China",2.222415897,0.078431373
n/a,n/a,Amazonas,Colombia,17/08/2020 4:27,-1.4429,-71.5724,2661,107,2419,135,"Amazonas, Colombia",3474.389273,4.02104472
n/a,n/a,Antioquia,Colombia,17/08/2020 4:27,7.1986,-75.3412,62232,1161,35264,25807,"Antioquia, Colombia",971.2971637,1.865599691
n/a,n/a,Arauca,Colombia,17/08/2020 4:27,7.0762,-70.7105,610,10,245,355,"Arauca, Colombia",232.6699062,1.639344262
n/a,n/a,Atlantico,Colombia,17/08/2020 4:27,10.6966,-74.8741,60832,2765,50182,7885,"Atlantico, Colombia",2399.195115,4.545305103
n/a,n/a,Bolivar,Colombia,17/08/2020 4:27,8.6704,-74.03,21775,644,17947,3184,"Bolivar, Colombia",1051.87647,2.957520092
n/a,n/a,Boyaca,Colombia,17/08/2020 4:27,5.4545,-73.362,2174,54,946,1174,"Boyaca, Colombia",178.5808164,2.483900644
n/a,n/a,Caldas,Colombia,17/08/2020 4:27,5.2983,-75.2479,1658,24,802,832,"Caldas, Colombia",166.0898267,1.447527141
n/a,n/a,Capital District,Colombia,17/08/2020 4:27,4.711,-74.0721,163295,4358,92318,66619,"Capital District, Colombia",2202.948345,2.668789614
n/a,n/a,Caqueta,Colombia,17/08/2020 4:27,0.8699,-73.8419,3750,103,1520,2127,"Caqueta, Colombia",934.023099,2.746666667
n/a,n/a,Casanare,Colombia,17/08/2020 4:27,5.7589,-71.5724,655,13,287,355,"Casanare, Colombia",155.7654624,1.984732824
n/a,n/a,Cauca,Colombia,17/08/2020 4:27,2.705,-76.826,3300,114,1819,1367,"Cauca, Colombia",225.3347245,3.454545455
n/a,n/a,Cesar,Colombia,17/08/2020 4:27,9.3373,-73.6536,5732,124,2884,2724,"Cesar, Colombia",477.438292,2.163293789
n/a,n/a,Choco,Colombia,17/08/2020 4:27,5.2528,-76.826,3468,123,2829,516,"Choco, Colombia",648.435192,3.546712803
n/a,n/a,Cordoba,Colombia,17/08/2020 4:27,8.0493,-75.574,13916,949,6558,6409,"Cordoba, Colombia",779.7026305,6.819488359
n/a,n/a,Cundinamarca,Colombia,17/08/2020 4:27,5.026,-74.03,15180,430,8843,5907,"Cundinamarca, Colombia",520.0304208,2.832674572
n/a,n/a,Guainia,Colombia,17/08/2020 4:27,2.5854,-68.5247,15,1,13,1,"Guainia, Colombia",31.1759571,6.666666667
n/a,n/a,Guaviare,Colombia,17/08/2020 4:27,1.0654,-73.2603,196,0,103,93,"Guaviare, Colombia",236.8093564,0
n/a,n/a,Huila,Colombia,17/08/2020 4:27,2.5359,-75.5277,2513,67,957,1489,"Huila, Colombia",228.3744068,2.666136092
n/a,n/a,La Guajira,Colombia,17/08/2020 4:27,11.3548,-72.5205,3508,170,2135,1203,"La Guajira, Colombia",398.3828473,4.846066135
n/a,n/a,Magdalena,Colombia,17/08/2020 4:27,10.4113,-74.4057,10179,505,6329,3345,"Magdalena, Colombia",758.6383712,4.961194616
n/a,n/a,Meta,Colombia,17/08/2020 4:27,3.272,-73.0877,5227,92,2977,2158,"Meta, Colombia",502.7305376,1.760091831
n/a,n/a,Narino,Colombia,17/08/2020 4:27,1.2892,-77.3579,11462,409,7354,3699,"Narino, Colombia",702.934885,3.568312685
n/a,n/a,Norte de Santander,Colombia,17/08/2020 4:27,7.9463,-72.8988,6780,386,3080,3314,"Norte de Santander, Colombia",454.5183346,5.693215339
n/a,n/a,Putumayo,Colombia,17/08/2020 4:27,0.436,-75.5277,1955,89,864,1002,"Putumayo, Colombia",561.4879574,4.552429668
n/a,n/a,Quindio,Colombia,17/08/2020 4:27,4.461,-75.6674,670,18,325,327,"Quindio, Colombia",124.0961356,2.686567164
n/a,n/a,Risaralda,Colombia,17/08/2020 4:27,5.3158,-75.9928,3592,62,1498,2032,"Risaralda, Colombia",380.7500734,1.726057906
n/a,n/a,San Andres y Providencia,Colombia,17/08/2020 4:27,12.5567,-81.7185,92,0,40,52,"San Andres y Providencia, Colombia",150.1305483,0
n/a,n/a,Santander,Colombia,17/08/2020 4:27,6.6437,-73.6536,10018,397,3747,5874,"Santander, Colombia",458.5239082,3.96286684
n/a,n/a,Sucre,Colombia,17/08/2020 4:27,8.814,-74.7233,8714,419,5784,2511,"Sucre, Colombia",963.0187111,4.808354372
n/a,n/a,Tolima,Colombia,17/08/2020 4:27,4.0925,-75.1545,4512,101,2376,2035,"Tolima, Colombia",339.2004282,2.238475177
n/a,n/a,Valle del Cauca,Colombia,17/08/2020 4:27,3.8009,-76.6413,37515,1401,24926,11188,"Valle del Cauca, Colombia",838.1580764,3.734506198
n/a,n/a,Vaupes,Colombia,17/08/2020 4:27,0.8554,-70.812,140,1,60,79,"Vaupes, Colombia",343.1624874,0.714285714
n/a,n/a,Vichada,Colombia,17/08/2020 4:27,4.4234,-69.2878,6,0,5,1,"Vichada, Colombia",5.565449688,0
n/a,n/a,n/a,Comoros,17/08/2020 4:27,-11.6455,43.3333,405,7,379,19,Comoros,46.57340486,1.728395062
n/a,n/a,n/a,Congo (Brazzaville),17/08/2020 4:27,-0.228,15.8277,3831,76,1625,2130,Congo (Brazzaville),69.42617122,1.983816236
n/a,n/a,n/a,Congo (Kinshasa),17/08/2020 4:27,-4.0383,21.7587,9676,240,8705,731,Congo (Kinshasa),10.80376096,2.480363787
n/a,n/a,n/a,Costa Rica,17/08/2020 4:27,9.7489,-83.7534,28465,294,9062,19109,Costa Rica,558.7821552,1.032847356
n/a,n/a,n/a,Cote d'Ivoire,17/08/2020 4:27,7.54,-5.5471,17026,110,13947,2969,Cote d'Ivoire,64.54553984,0.646070715
n/a,n/a,n/a,Croatia,17/08/2020 4:27,45.1,15.2,6571,166,5220,1185,Croatia,160.0626317,2.526251712
n/a,n/a,n/a,Cuba,17/08/2020 4:27,21.521757,-77.781167,3316,88,2620,608,Cuba,29.27617569,2.653799759
n/a,n/a,n/a,Cyprus,17/08/2020 4:27,35.1264,33.4299,1339,20,870,449,Cyprus,110.9030356,1.493651979
n/a,n/a,n/a,Czechia,17/08/2020 4:27,49.8175,15.473,20012,397,13799,5816,Czechia,186.8711704,1.983809714
n/a,n/a,Faroe Islands,Denmark,17/08/2020 4:27,61.8926,-6.9118,372,0,225,147,"Faroe Islands, Denmark",761.2810805,0
n/a,n/a,Greenland,Denmark,17/08/2020 4:27,71.7069,-42.6043,14,0,14,0,"Greenland, Denmark",24.66004368,0
n/a,n/a,n/a,Denmark,17/08/2020 4:27,56.2639,9.5018,15617,621,13340,1656,Denmark,269.6210751,3.976435935
n/a,n/a,n/a,Diamond Princess,17/08/2020 4:27,n/a,n/a,712,13,651,48,Diamond Princess,n/a,1.825842697
n/a,n/a,n/a,Djibouti,17/08/2020 4:27,11.8251,42.5903,5369,59,5202,108,Djibouti,543.4199526,1.098901099
n/a,n/a,n/a,Dominica,17/08/2020 4:27,15.415,-61.371,18,0,18,0,Dominica,25.00312539,0
n/a,n/a,n/a,Dominican Republic,17/08/2020 4:27,18.7357,-70.1627,86309,1453,52905,31951,Dominican Republic,795.6283536,1.683486079
n/a,n/a,n/a,Ecuador,17/08/2020 4:27,-1.8312,-78.1834,101542,6070,87022,8450,Ecuador,575.5350829,5.977821985
n/a,n/a,n/a,Egypt,17/08/2020 4:27,26.820553,30.802498,96475,5160,59743,31572,Egypt,94.27425887,5.34853589
n/a,n/a,n/a,El Salvador,17/08/2020 4:27,13.7942,-88.8965,22912,612,10807,11493,El Salvador,353.2422137,2.671089385
n/a,n/a,n/a,Equatorial Guinea,17/08/2020 4:27,1.6508,10.2679,4821,83,2182,2556,Equatorial Guinea,343.6244864,1.721634516
n/a,n/a,n/a,Eritrea,17/08/2020 4:27,15.1794,39.7823,285,0,248,37,Eritrea,8.036257337,0
n/a,n/a,n/a,Estonia,17/08/2020 4:27,58.5953,25.0136,2190,63,1976,151,Estonia,165.0912638,2.876712329
n/a,n/a,n/a,Eswatini,17/08/2020 4:27,-26.5225,31.4659,3839,70,2268,1501,Eswatini,330.9014932,1.823391508
n/a,n/a,n/a,Ethiopia,17/08/2020 4:27,9.145,40.4897,29876,528,12359,16989,Ethiopia,25.98735984,1.76730486
n/a,n/a,n/a,Fiji,17/08/2020 4:27,-17.7134,178.065,28,1,20,7,Fiji,3.123452218,3.571428571
n/a,n/a,n/a,Finland,17/08/2020 4:27,61.92411,25.748151,7731,333,7050,348,Finland,139.5306529,4.307334109
n/a,n/a,French Guiana,France,17/08/2020 4:27,4,-53,8588,53,7893,642,"French Guiana, France",2875.298813,0.617140196
n/a,n/a,French Polynesia,France,17/08/2020 4:27,-17.6797,-149.4068,166,0,64,102,"French Polynesia, France",59.09492211,0
n/a,n/a,Guadeloupe,France,17/08/2020 4:27,16.265,-61.551,446,14,289,143,"Guadeloupe, France",111.46461,3.139013453
n/a,n/a,Martinique,France,17/08/2020 4:27,14.6415,-61.0242,336,16,98,222,"Martinique, France",89.53672738,4.761904762
n/a,n/a,Mayotte,France,17/08/2020 4:27,-12.8275,45.166244,3119,39,2940,140,"Mayotte, France",1143.273964,1.250400769
